,NR_TURNO,NM_MUNICIPIO,CD_CARGO_PERGUNTA,NM_VOTAVEL,QT_VOTOS
3108,1,PEREIRO,11,CLAUDIO NOGUEIRA,3666
3109,1,PEREIRO,11,Branco,140
3110,1,PEREIRO,11,Nulo,380
3137,1,QUIXERAMOBIM,11,SARGENTO ROGÉRIO,977
3138,1,QUIXERAMOBIM,11,Nulo,1561
3139,1,QUIXERAMOBIM,11,PEDRO COELHO,9160
3140,1,QUIXERAMOBIM,11,CLEBIO PAVONE,11980
3141,1,QUIXERAMOBIM,11,CIRILO PIMENTA,23712
3142,1,QUIXERAMOBIM,11,Branco,628
3334,1,PIQUET CARNEIRO,11,Branco,120
3335,1,PIQUET CARNEIRO,11,NETO,139
3336,1,PIQUET CARNEIRO,11,LUIZ AUGUSTO,4130
3337,1,PIQUET CARNEIRO,11,BISMARCK,5102
3338,1,PIQUET CARNEIRO,11,Nulo,344
3392,1,SENADOR POMPEU,11,Nulo,701
3393,1,SENADOR POMPEU,11,MAURÍCIO PINHEIRO,8672
3394,1,SENADOR POMPEU,11,TEIXEIRA,6926
3395,1,SENADOR POMPEU,11,ISMAEL LIMA,115
3396,1,SENADOR POMPEU,11,TEREZINHA MATOS,407
3397,1,SENADOR POMPEU,11,Branco,208
3458,1,IGUATU,11,DR. SAMUEL ALVES,219
3459,1,IGUATU,11,EDNALDO LAVOR,29103
3460,1,IGUATU,11,AGENOR,23136
3461,1,IGUATU,11,Branco,865
3462,1,IGUATU,11,TENENTE MULATO,539
3463,1,IGUATU,11,MÁCIO,554
3464,1,IGUATU,11,Nulo,2076
3465,1,IGUATU,11,CARLOS SILVA,99
3466,1,IGUATU,11,MARCOS SOBREIRA,261
3467,1,IGUATU,11,AUGUSTO CORREIA LIMA,42
3656,1,QUIXELÔ,11,SAMUEL ARAUJO,5413
3657,1,QUIXELÔ,11,ZE MATIAS,327
3658,1,QUIXELÔ,11,ADIL JUNIOR,5666
3659,1,QUIXELÔ,11,Nulo,438
3660,1,QUIXELÔ,11,Branco,130
3715,1,CEDRO,11,DR RODRIGO ARAÚJO,7538
3716,1,CEDRO,11,Branco,149
3717,1,CEDRO,11,Nulo,433
3718,1,CEDRO,11,NIPONICO,47
3719,1,CEDRO,11,BEL DE ALCIVAN,679
3720,1,CEDRO,11,JOÃOZINHO DE TITICO,7719
3780,1,LAVRAS DA MANGABEIRA,11,Nulo,767
3781,1,LAVRAS DA MANGABEIRA,11,RONALDO DA MADEIREIRA,9759
3782,1,LAVRAS DA MANGABEIRA,11,ILDSSER LOPES,7974
3783,1,LAVRAS DA MANGABEIRA,11,Branco,231
3845,1,ICÓ,11,LAÍS NUNES,20139
3846,1,ICÓ,11,Branco,703
3847,1,ICÓ,11,MARCELO TORRES,8581
3848,1,ICÓ,11,Nulo,1359
3849,1,ICÓ,11,JAIME JÚNIOR,7704
3850,1,ICÓ,11,WILLIAMS SARMENTO,79
3944,1,UMARI,11,MANOEL PARNAÍBA,172
3945,1,UMARI,11,SANDRO RUFINO,2777
3946,1,UMARI,11,ALEX BARROS,2001
3947,1,UMARI,11,Branco,40
3948,1,UMARI,11,Nulo,219
3979,1,ORÓS,11,Nulo,496
3980,1,ORÓS,11,ZÉ RUBENS,7070
3981,1,ORÓS,11,Branco,193
3982,1,ORÓS,11,LUHANNA URYA,6078
4030,1,MISSÃO VELHA,11,Branco,286
4031,1,MISSÃO VELHA,11,Nulo,837
4032,1,MISSÃO VELHA,11,DR LORIM,11125
4033,1,MISSÃO VELHA,11,DR. WASHINGTON,11748
4093,1,ITAPIPOCA,11,DR DAGMAURO,11666
4094,1,ITAPIPOCA,11,JOÃO BARROSO,27415
4095,1,ITAPIPOCA,11,FELIPE PINHEIRO,31760
4096,1,ITAPIPOCA,11,ANTÔNIO CARNEIRO,92
4097,1,ITAPIPOCA,11,PAULO HENRIQUE TEIXEIRA,1681
4098,1,ITAPIPOCA,11,Branco,1002
4099,1,ITAPIPOCA,11,Nulo,2731
4257,1,TURURU,11,HILZETE MARIM,6667
4258,1,TURURU,11,GUGU DO POVO,319
4259,1,TURURU,11,Branco,215
4260,1,TURURU,11,FÁTIMA GALDINO,4317
4261,1,TURURU,11,Nulo,424
4262,1,TURURU,11,REGIS DO LOISON,481
4321,1,ANTONINA DO NORTE,11,ITEILDO ROQUE,484
4322,1,ANTONINA DO NORTE,11,EDIVAN MOTA,44
4323,1,ANTONINA DO NORTE,11,ORLANDO RUFINO,347
4324,1,ANTONINA DO NORTE,11,Nulo,184
4325,1,ANTONINA DO NORTE,11,Branco,53
4326,1,ANTONINA DO NORTE,11,ANTONIO FILHO,2476
4327,1,ANTONINA DO NORTE,11,DR FRANCISCO,2010
4362,1,ASSARÉ,11,LIBORIO,7707
4363,1,ASSARÉ,11,EVANDERTO ALMEIDA,6914
4364,1,ASSARÉ,11,Branco,142
4365,1,ASSARÉ,11,HUMBERTO ALENCAR,224
4366,1,ASSARÉ,11,Nulo,537
4367,1,ASSARÉ,11,GILDÁRIO DE ASSARÉ,65
4432,1,TARRAFAS,11,ERONILDES,2848
4433,1,TARRAFAS,11,TAIANO,3053
4434,1,TARRAFAS,11,Branco,78
4435,1,TARRAFAS,11,Nulo,187
4436,1,TARRAFAS,11,CICERO PALACIO,17
4468,1,TAUÁ,11,SAMUEL MARQUES,155
4469,1,TAUÁ,11,Nulo,1537
4470,1,TAUÁ,11,DR EDYR,4843
4471,1,TAUÁ,11,PATRICIA AGUIAR,16964
4472,1,TAUÁ,11,AMAURI CAVALCANTE,299
4473,1,TAUÁ,11,FRED REGO,12136
4474,1,TAUÁ,11,Branco,481
4475,1,TAUÁ,11,RILDO DANTAS,287
4560,1,PARAMBU,11,PADRE MÁRCIO,6100
4561,1,PARAMBU,11,Nulo,678
4562,1,PARAMBU,11,Branco,308
4563,1,PARAMBU,11,ROMULO NORONHA,14522
4602,1,CRATEÚS,11,SARGENTO BORGES,8944
4603,1,CRATEÚS,11,PAULO GIOVANI,1522
4604,1,CRATEÚS,11,REGINALDO KARKARA,190
4605,1,CRATEÚS,11,Branco,1127
4606,1,CRATEÚS,11,Nulo,2666
4607,1,CRATEÚS,11,MARCELO MACHADO,30149
4719,1,IPAPORANGA,11,Nulo,345
4720,1,IPAPORANGA,11,DEDE DIOGO,3102
4721,1,IPAPORANGA,11,AMARO PEREIRA,4362
4722,1,IPAPORANGA,11,Branco,43
4780,1,IPU,11,ROBERIO RUFINO,14156
4781,1,IPU,11,Nulo,1245
4782,1,IPU,11,DIEGO CARLOS,8881
4783,1,IPU,11,DR CADU,961
4784,1,IPU,11,Branco,495
4785,1,IPU,11,PROFESSOR FLÁVIO,61
4865,1,PIRES FERREIRA,11,Nulo,140
4866,1,PIRES FERREIRA,11,DRA. LÍVIA,3690
4867,1,PIRES FERREIRA,11,Branco,34
4868,1,PIRES FERREIRA,11,JOSE AUGUSTO,2967
4897,1,CARNAUBAL,11,ZE WELITON,6820
4898,1,CARNAUBAL,11,ADEMIR MARTINS,3559
4899,1,CARNAUBAL,11,Nulo,373
4900,1,CARNAUBAL,11,Branco,98
4934,1,SÃO BENEDITO,11,SAUL  MACIEL,13858
4935,1,SÃO BENEDITO,11,Branco,827
4936,1,SÃO BENEDITO,11,TOTONHO LIMA,1338
4937,1,SÃO BENEDITO,11,HENRIQUE  SANTANA,484
4938,1,SÃO BENEDITO,11,Nulo,1361
4939,1,SÃO BENEDITO,11,DR MICHELL,10324
5003,1,URUBURETAMA,11,Nulo,626
5004,1,URUBURETAMA,11,TETÉ,3697
5005,1,URUBURETAMA,11,EDUARDO DAVID,4497
5006,1,URUBURETAMA,11,BRANCO DO ANGELIM,5575
5007,1,URUBURETAMA,11,Branco,226
5090,1,UMIRIM,11,Branco,170
5091,1,UMIRIM,11,FELIPE UCHÔA,6439
5092,1,UMIRIM,11,Nulo,441
5093,1,UMIRIM,11,DEDE DA AMBULANCIA,5690
5162,1,SÃO LUÍS DO CURU,11,Nulo,382
5163,1,SÃO LUÍS DO CURU,11,CHICO ABREU,4442
5164,1,SÃO LUÍS DO CURU,11,ADAMASTOR PACHECO,927
5165,1,SÃO LUÍS DO CURU,11,DOUTOR VITO,3499
5166,1,SÃO LUÍS DO CURU,11,RUBENS HERCULANO,122
5167,1,SÃO LUÍS DO CURU,11,Branco,170
