,NR_TURNO,NM_MUNICIPIO,CD_CARGO_PERGUNTA,NM_VOTAVEL,QT_VOTOS
9465,1,PACAJUS,11,BRUNO FIGUEIREDO,21426
9466,1,PACAJUS,11,TEODORICO VEIO MACHO,892
9467,1,PACAJUS,11,ROGÉRIO MESQUITA,596
9621,1,CHOROZINHO,11,Nulo,388
9622,1,CHOROZINHO,11,DR JÚNIOR,10500
9623,1,CHOROZINHO,11,CICI,3578
9624,1,CHOROZINHO,11,Branco,215
9666,1,APUIARÉS,11,Branco,105
9667,1,APUIARÉS,11,IRIS,4892
9668,1,APUIARÉS,11,Nulo,409
9669,1,APUIARÉS,11,ANA RUFINO,4692
9704,1,GENERAL SAMPAIO,11,DRA LUCIANA,806
9705,1,GENERAL SAMPAIO,11,CHICO CORDEIRO,2987
9706,1,GENERAL SAMPAIO,11,ELIENE BRASILEIRO,2723
9707,1,GENERAL SAMPAIO,11,Nulo,127
9708,1,GENERAL SAMPAIO,11,Branco,47
9749,1,PENTECOSTE,11,ILANNA CIRILO,7825
9750,1,PENTECOSTE,11,JOÃO BOSCO,8785
9751,1,PENTECOSTE,11,Nulo,1180
9752,1,PENTECOSTE,11,DANUSIO LOREL,1389
9753,1,PENTECOSTE,11,NOBREGA,664
9754,1,PENTECOSTE,11,Branco,508
9755,1,PENTECOSTE,11,VICENTE DO ZUZA,6274
9888,1,ACARAPE,11,Nulo,336
9889,1,ACARAPE,11,TIÃO  ACARAPE,16
9890,1,ACARAPE,11,DR ALEXANDRE,4061
9891,1,ACARAPE,11,EDILBERTO,5789
9892,1,ACARAPE,11,Branco,152
9954,1,BARREIRA,11,Branco,214
9955,1,BARREIRA,11,DRA AUXILIADORA,7604
9956,1,BARREIRA,11,ALAILSON SALDANHA,6356
9957,1,BARREIRA,11,PROFESSOR BERNARDO,557
9958,1,BARREIRA,11,Nulo,593
10035,1,REDENÇÃO,11,Nulo,1044
10036,1,REDENÇÃO,11,CHICO ANTONIO,597
10037,1,REDENÇÃO,11,Branco,455
10038,1,REDENÇÃO,11,DAVI BENEVIDES,15047
10039,1,REDENÇÃO,11,JADSON FERREIRA,2408
10128,1,ALTANEIRA,11,Nulo,153
10129,1,ALTANEIRA,11,Branco,46
10130,1,ALTANEIRA,11,KESIA,2405
10131,1,ALTANEIRA,11,DARIOMAR,2540
10153,1,NOVA OLINDA,11,Branco,197
10154,1,NOVA OLINDA,11,Nulo,464
10155,1,NOVA OLINDA,11,SOCORRO MATOS,3020
10156,1,NOVA OLINDA,11,DR ITALO,6400
10189,1,SANTANA DO CARIRI,11,Branco,95
10190,1,SANTANA DO CARIRI,11,Nulo,406
10191,1,SANTANA DO CARIRI,11,DR SAMUEL,4278
10192,1,SANTANA DO CARIRI,11,PEDRO HENRIQUE,3324
10193,1,SANTANA DO CARIRI,11,VICENTE BRILHANTE,2762
10242,1,HIDROLÂNDIA,11,CAPITÃO FARIAS,193
10243,1,HIDROLÂNDIA,11,Nulo,519
10244,1,HIDROLÂNDIA,11,Branco,215
10245,1,HIDROLÂNDIA,11,BOSCO CID,4326
10246,1,HIDROLÂNDIA,11,IRIS MARTINS,7259
10289,1,SANTA QUITÉRIA,11,BRAGUINHA,12835
10290,1,SANTA QUITÉRIA,11,Branco,677
10291,1,SANTA QUITÉRIA,11,TOMÁS FIGUEIREDO,12142
10292,1,SANTA QUITÉRIA,11,Nulo,1292
10363,1,CATUNDA,11,NETO DO POSTO,3085
10364,1,CATUNDA,11,Branco,57
10365,1,CATUNDA,11,RAVENNA,3844
10366,1,CATUNDA,11,Nulo,130
10367,1,CATUNDA,11,JOANA DO SINDICATO,202
10399,1,SOLONÓPOLE,11,Branco,82
10400,1,SOLONÓPOLE,11,Nulo,297
10401,1,SOLONÓPOLE,11,ANA VLADIA,6270
10402,1,SOLONÓPOLE,11,SIFREDO,5426
10453,1,DEPUTADO IRAPUAN PINHEIRO,11,Branco,37
10454,1,DEPUTADO IRAPUAN PINHEIRO,11,CLAUDENILTON PINHEIRO,2872
10455,1,DEPUTADO IRAPUAN PINHEIRO,11,Nulo,115
10456,1,DEPUTADO IRAPUAN PINHEIRO,11,GILDECARLOS,3187
10486,1,MILHÃ,11,Nulo,270
10487,1,MILHÃ,11,RUTH PINHEIRO,4003
10488,1,MILHÃ,11,Branco,75
10489,1,MILHÃ,11,ALAN MACÊDO,5152
10533,1,PACATUBA,11,DONA SELMA,1431
10534,1,PACATUBA,11,DR RENATO CÉLIO,15909
10535,1,PACATUBA,11,CARLOMANO MARQUES,20334
10536,1,PACATUBA,11,Nulo,2859
10537,1,PACATUBA,11,Branco,1653
10538,1,PACATUBA,11,JARILSON,567
10539,1,PACATUBA,11,ANDRÉ HOLANDA,473
10728,1,GUAIÚBA,11,POSSIDONIO,56
10729,1,GUAIÚBA,11,Nulo,574
10730,1,GUAIÚBA,11,IZABELLA FERNANDES,6198
10731,1,GUAIÚBA,11,PAULO GIUSEPPE,141
10732,1,GUAIÚBA,11,Branco,168
10733,1,GUAIÚBA,11,DR IRAN,4469
10734,1,GUAIÚBA,11,MARCELO FRADIQUE,4957
10841,1,PEDRA BRANCA,11,JUNIOR DO GILBERTO,2390
10842,1,PEDRA BRANCA,11,Nulo,777
10843,1,PEDRA BRANCA,11,GOIS,7490
10844,1,PEDRA BRANCA,11,PADRE ANTONIO MENEZES,4999
10845,1,PEDRA BRANCA,11,DANIELA,4045
10846,1,PEDRA BRANCA,11,PEDRO PARAIBANO,6288
10847,1,PEDRA BRANCA,11,Branco,303
10915,1,ACOPIARA,11,Nulo,1074
10916,1,ACOPIARA,11,ANTÔNIO ALMEIDA,15864
10917,1,ACOPIARA,11,Branco,401
10918,1,ACOPIARA,11,DR VILMAR,15419
10982,1,CATARINA,11,DR THIAGO,3728
10983,1,CATARINA,11,MACLA,3588
10984,1,CATARINA,11,Branco,49
10985,1,CATARINA,11,Nulo,222
11009,1,TAMBORIL,11,Branco,165
11010,1,TAMBORIL,11,RAMIRO JR,189
11011,1,TAMBORIL,11,Nulo,523
11012,1,TAMBORIL,11,GILBERTO TORRES,511
11013,1,TAMBORIL,11,PEDRO CALISTO,7159
11014,1,TAMBORIL,11,MARCELO MOTA,9186
11086,1,MONSENHOR TABOSA,11,Nulo,315
11087,1,MONSENHOR TABOSA,11,Branco,106
11088,1,MONSENHOR TABOSA,11,DR FRANCISCO MESQUITA,5321
11089,1,MONSENHOR TABOSA,11,SALOMÃO,6571
11128,1,VÁRZEA ALEGRE,11,Branco,527
11129,1,VÁRZEA ALEGRE,11,ZÉ HELDER,13537
11130,1,VÁRZEA ALEGRE,11,Nulo,1142
11131,1,VÁRZEA ALEGRE,11,CAPITAO HORIZONTE,1131
11132,1,VÁRZEA ALEGRE,11,RIBAMAR DA TOPIC,8293
11185,1,GRANJEIRO,11,FABIANO DE RAIMUNDO BRANCO,2317
11186,1,GRANJEIRO,11,CHICO CLEMENTINO,2637
11187,1,GRANJEIRO,11,Nulo,122
11188,1,GRANJEIRO,11,Branco,22
11212,1,FARIAS BRITO,11,DEDA,6735
11213,1,FARIAS BRITO,11,Nulo,532
11214,1,FARIAS BRITO,11,DR. VANDEVELDER,6505
11215,1,FARIAS BRITO,11,Branco,116
11273,1,BOA VIAGEM,11,REGIS,19507
11274,1,BOA VIAGEM,11,ALINE VIEIRA,11928
11275,1,BOA VIAGEM,11,Nulo,972
11276,1,BOA VIAGEM,11,EDVAN ABREU,520
11277,1,BOA VIAGEM,11,Branco,421
11322,1,MADALENA,11,Branco,175
11323,1,MADALENA,11,EURIVANDO VIEIRA,4464
11324,1,MADALENA,11,Nulo,433
11325,1,MADALENA,11,SÔNIA COSTA,6304
11371,1,COREAÚ,11,RONER,7801
11372,1,COREAÚ,11,Branco,150
11373,1,COREAÚ,11,EDEZIO SITONIO,8380
11374,1,COREAÚ,11,Nulo,415
11399,1,MORAÚJO,11,ÁQUILA,3534
11400,1,MORAÚJO,11,Nulo,142
11401,1,MORAÚJO,11,MOREIRÃO,2957
11402,1,MORAÚJO,11,Branco,46
11425,1,CARIRÉ,11,ANTONIO MARTINS,8172
11426,1,CARIRÉ,11,SGT OLIVANDO,100
11427,1,CARIRÉ,11,RÔMULO PONTE,3411
11428,1,CARIRÉ,11,Nulo,344
11429,1,CARIRÉ,11,Branco,210
11463,1,GROAÍRAS,11,Branco,115
11464,1,GROAÍRAS,11,ZEILMA MARIA LOIOLA PAIVA,243
11465,1,GROAÍRAS,11,Nulo,212
11466,1,GROAÍRAS,11,ADAIL MELO,3605
11467,1,GROAÍRAS,11,UELITON VASCONCELOS,3220
11468,1,GROAÍRAS,11,KAYS,328
11506,1,VARJOTA,11,ELMO MONTE,7068
11507,1,VARJOTA,11,ROSA PAULINO,6238
11508,1,VARJOTA,11,Nulo,348
11509,1,VARJOTA,11,Branco,72
11560,1,AQUIRAZ,11,Nulo,2155
11561,1,AQUIRAZ,11,Branco,1051
11562,1,AQUIRAZ,11,DR BRUNO GONÇALVES,25562
11563,1,AQUIRAZ,11,EDSON SÁ,21884
11676,1,ARACOIABA,11,THIAGO CAMPELO,12113
11677,1,ARACOIABA,11,EDIM DA BIL,7900
11678,1,ARACOIABA,11,Nulo,633
11679,1,ARACOIABA,11,Branco,198
11680,1,ARACOIABA,11,TELMO,201
11763,1,OCARA,11,DR LEONILDO,9659
11764,1,OCARA,11,Nulo,560
11765,1,OCARA,11,DR WASHINGTON,399
11766,1,OCARA,11,AMALIA,9679
11767,1,OCARA,11,Branco,191
11848,1,ARARIPE,11,ROBERTO GUEDES,6223
11849,1,ARARIPE,11,Nulo,532
11850,1,ARARIPE,11,CICERO DE DEUS,6781
11851,1,ARARIPE,11,Branco,132
11885,1,POTENGI,11,Branco,72
11886,1,POTENGI,11,SAMUEL,95
11887,1,POTENGI,11,EDSON VERIATO,3457
11888,1,POTENGI,11,Nulo,264
11889,1,POTENGI,11,ALIZANDRA,2318
11933,1,AURORA,11,Branco,129
11934,1,AURORA,11,PROFª GLÓRIA MARIA,455
11935,1,AURORA,11,MARCONE TAVARES,8400
11936,1,AURORA,11,Nulo,519
11937,1,AURORA,11,ADAILTON MACEDO,7097
11983,1,BREJO SANTO,11,EUSÉBIO FERREIRA,5455
11984,1,BREJO SANTO,11,Branco,848
11985,1,BREJO SANTO,11,EDMAR JUNIOR,4313
11986,1,BREJO SANTO,11,Nulo,1387
11987,1,BREJO SANTO,11,GISLAINE LANDIM,15749
12053,1,PORTEIRAS,11,Nulo,485
12054,1,PORTEIRAS,11,FÁBIO,5647
12055,1,PORTEIRAS,11,MUNDINHO INACIO,5259
12056,1,PORTEIRAS,11,Branco,113
12091,1,PENAFORTE,11,Branco,49
12092,1,PENAFORTE,11,Nulo,201
12093,1,PENAFORTE,11,DR. RAFAEL,3360
12094,1,PENAFORTE,11,LUIS DE CELESTINA,3219
12131,1,JATI,11,MONICA MARIANO,3898
12132,1,JATI,11,Branco,119
12133,1,JATI,11,VILMA DE WILVAN,1562
12134,1,JATI,11,Nulo,204
12168,1,CARIRIAÇU,11,Nulo,466
12169,1,CARIRIAÇU,11,PROF BOSCO MACHADO,118
12170,1,CARIRIAÇU,11,KASSYANA FEITOSA,266
12171,1,CARIRIAÇU,11,Branco,236
12172,1,CARIRIAÇU,11,JOÃO MARCOS,8401
12173,1,CARIRIAÇU,11,EDMILSON LEITE,9999
12208,1,JAGUARETAMA,11,Nulo,1128
12209,1,JAGUARETAMA,11,GLAIRTON CUNHA,10423
12210,1,JAGUARETAMA,11,Branco,1111
12249,1,JAGUARIBARA,11,DEDÉ,2273
12250,1,JAGUARIBARA,11,Branco,114
12251,1,JAGUARIBARA,11,JUJU,4677
12252,1,JAGUARIBARA,11,Nulo,238
12291,1,IBIAPINA,11,LEANDRO LINHARES,6709
12292,1,IBIAPINA,11,Branco,246
12293,1,IBIAPINA,11,MARCÃO,7024
12294,1,IBIAPINA,11,Nulo,525
12334,1,UBAJARA,11,RENATO PESSOA,7607
12335,1,UBAJARA,11,RENÊ,10392
12336,1,UBAJARA,11,Nulo,1374
12337,1,UBAJARA,11,Branco,917
12395,1,GUARACIABA DO NORTE,11,EGBERTO FILHO,9514
12396,1,GUARACIABA DO NORTE,11,Branco,436
12397,1,GUARACIABA DO NORTE,11,DR ADAIL MACHADO,13234
12398,1,GUARACIABA DO NORTE,11,MARCELO,963
12399,1,GUARACIABA DO NORTE,11,Nulo,1085
12440,1,CROATÁ,11,EDILSON FELICIANO,5405
12441,1,CROATÁ,11,Nulo,289
12442,1,CROATÁ,11,Branco,109
12443,1,CROATÁ,11,RONILSON OLIVEIRA,5786
12488,1,ITAIÇABA,11,FRANK GOMES,3045
12489,1,ITAIÇABA,11,Branco,46
12490,1,ITAIÇABA,11,DR ERENARCO,2890
12491,1,ITAIÇABA,11,Nulo,135
12533,1,JAGUARUANA,11,ANA TERESA,10519
12534,1,JAGUARUANA,11,KAUÊ PEREIRA,204
12535,1,JAGUARUANA,11,ROBERTO DA VIÚVA,12005
12536,1,JAGUARUANA,11,Branco,311
12537,1,JAGUARUANA,11,Nulo,661
12612,1,MAURITI,11,TURICA,143
12613,1,MAURITI,11,DR SAVIO MARTINS,10139
12614,1,MAURITI,11,Nulo,1316
12615,1,MAURITI,11,Branco,312
12616,1,MAURITI,11,PROFESSOR FELIZARDO,312
12617,1,MAURITI,11,JUNIOR,15715
12677,1,HORIZONTE,11,JAIRO JORGE,121
12678,1,HORIZONTE,11,MARLON MATOS,374
12679,1,HORIZONTE,11,Branco,1021
12680,1,HORIZONTE,11,DR ALEXANDRE,16205
12681,1,HORIZONTE,11,NEZINHO FARIAS,27349
12682,1,HORIZONTE,11,Nulo,2324
12683,1,HORIZONTE,11,DR. EDSON NOGUEIRA,147
12841,1,ITAITINGA,11,Branco,668
12842,1,ITAITINGA,11,Nulo,1289
12843,1,ITAITINGA,11,DULCYNARDO,3436
12844,1,ITAITINGA,11,PAULO CESAR FEITOSA,14985
12845,1,ITAITINGA,11,PAULO RICARDO,4062
12957,1,RERIUTABA,11,Branco,112
12958,1,RERIUTABA,11,JUSCELINO MAGALHÃES,93
12959,1,RERIUTABA,11,Nulo,379
12960,1,RERIUTABA,11,OSVALDO NETO,5940
12961,1,RERIUTABA,11,PEDRO HUMBERTO,6389
13005,1,GRAÇA,11,AUGUSTO BRITO OU BELÔ,4610
13006,1,GRAÇA,11,Branco,132
13007,1,GRAÇA,11,IRALDICE MÃO CHEIROSA,4646
13008,1,GRAÇA,11,Nulo,389
13035,1,PACUJÁ,11,Nulo,156
13036,1,PACUJÁ,11,ELISÂNGELA AGUIAR,2364
13037,1,PACUJÁ,11,Branco,60
13038,1,PACUJÁ,11,RAIMUNDO FILHO,2644
13060,1,MUCAMBO,11,Branco,104
13061,1,MUCAMBO,11,Nulo,234
13062,1,MUCAMBO,11,CANARINHO,5797
13063,1,MUCAMBO,11,CRIZANTO POVÃO,4027
13090,1,TIANGUÁ,11,Nulo,3491
13091,1,TIANGUÁ,11,Branco,1867
13092,1,TIANGUÁ,11,DR LUIZ,26268
13093,1,TIANGUÁ,11,DR DAVID,13243
13094,1,TIANGUÁ,11,LUIZ PAIXÃO,215
13095,1,TIANGUÁ,11,JOÃO CARLOS,72
13210,1,FRECHEIRINHA,11,Nulo,515
13211,1,FRECHEIRINHA,11,Branco,107
13212,1,FRECHEIRINHA,11,DR CLAUDIO TIBURCIO,4804
13213,1,FRECHEIRINHA,11,HELTON LUIS,5339
13245,1,BEBERIBE,11,PAULO DINO,13185
13246,1,BEBERIBE,11,O CANTADOR,444
13247,1,BEBERIBE,11,Branco,736
13248,1,BEBERIBE,11,MICHELE QUEIROZ,19697
13249,1,BEBERIBE,11,Nulo,1385
13250,1,BEBERIBE,11,CESAR COLAÇO,1596
13385,1,ALTO SANTO,11,JOENI,6261
13386,1,ALTO SANTO,11,IRIS GADELHA,3785
13387,1,ALTO SANTO,11,Nulo,271
13388,1,ALTO SANTO,11,Branco,107
13442,1,POTIRETAMA,11,EUDES,2295
13443,1,POTIRETAMA,11,LUAN DANTAS,2755
13444,1,POTIRETAMA,11,Nulo,64
13445,1,POTIRETAMA,11,Branco,22
13473,1,IRACEMA,11,Nulo,345
13474,1,IRACEMA,11,RÉGIO DE OTACILIO,3989
13475,1,IRACEMA,11,CELSO GOMES,4990
13476,1,IRACEMA,11,Branco,94
13516,1,EUSÉBIO,11,DR ACILON GONÇALVES,24158
13517,1,EUSÉBIO,11,CHICO DO POSTO,6775
13518,1,EUSÉBIO,11,DR MAURO,4965
13519,1,EUSÉBIO,11,Nulo,2013
13520,1,EUSÉBIO,11,Branco,1271
13603,1,AMONTADA,11,Nulo,1158
13604,1,AMONTADA,11,Branco,349
13605,1,AMONTADA,11,DR CLEBERT ALMANACY,712
13606,1,AMONTADA,11,FLAVIO FILHO,14696
13607,1,AMONTADA,11,JANE LEILA,10628
13608,1,AMONTADA,11,DEUSDETE,31
13730,1,MIRAÍMA,11,Nulo,256
13731,1,MIRAÍMA,11,BETAO,4091
13732,1,MIRAÍMA,11,EDNARDO FILHO,5026
13733,1,MIRAÍMA,11,CRISTIANO TEIXEIRA,385
13734,1,MIRAÍMA,11,Branco,57
13766,1,TABULEIRO DO NORTE,11,Nulo,730
13767,1,TABULEIRO DO NORTE,11,Branco,566
13768,1,TABULEIRO DO NORTE,11,TONA NOGUEIRA,7738
13769,1,TABULEIRO DO NORTE,11,DR. RILDSON,11208
13823,1,SÃO JOÃO DO JAGUARIBE,11,RAIMUNDO CESAR,3230
13824,1,SÃO JOÃO DO JAGUARIBE,11,DR ANTONIO CARLOS,2352
13825,1,SÃO JOÃO DO JAGUARIBE,11,Branco,61
13826,1,SÃO JOÃO DO JAGUARIBE,11,Nulo,132
13855,1,BARRO,11,DR MARQUINÉLIO,6265
13856,1,BARRO,11,Branco,131
13857,1,BARRO,11,Nulo,453
13858,1,BARRO,11,DAMIÃO EPITÁCIO,189
13859,1,BARRO,11,GEORGE FEITOSA,6212
13910,1,BAIXIO,11,Branco,30
13911,1,BAIXIO,11,KACILDA ALENCAR,1895
13912,1,BAIXIO,11,Nulo,109
13913,1,BAIXIO,11,ZÉ HUMBERTO,2739
13941,1,IPAUMIRIM,11,Branco,61
13942,1,IPAUMIRIM,11,DR ALMEDINHA,2734
13943,1,IPAUMIRIM,11,PUICA,3580
13944,1,IPAUMIRIM,11,JOSELBA DINIZ,1011
13945,1,IPAUMIRIM,11,PROFESSORA RILMACY,44
13946,1,IPAUMIRIM,11,Nulo,218
13991,1,BELA CRUZ,11,ADRIANO MARQUES,118
13992,1,BELA CRUZ,11,Branco,216
13993,1,BELA CRUZ,11,NETIM MORAIS,6837
13994,1,BELA CRUZ,11,PROFESSOR FERNANDO,5444
13995,1,BELA CRUZ,11,Nulo,598
13996,1,BELA CRUZ,11,CACHIMBÃO,3527
14076,1,MARCO,11,ROGER AGUIAR,9981
14077,1,MARCO,11,BEL DO PAREDÃO,8056
14078,1,MARCO,11,Nulo,425
14079,1,MARCO,11,Branco,159
14080,1,MARCO,11,MARCOS CHAVES,104
14135,1,TRAIRI,11,GUSTAVO,18145
14136,1,TRAIRI,11,Branco,525
14137,1,TRAIRI,11,Nulo,1417
14138,1,TRAIRI,11,DR MARCOS PRADO,12749
14139,1,TRAIRI,11,MAURO,4120
14233,1,ITAREMA,11,Nulo,1151
14234,1,ITAREMA,11,Branco,378
14235,1,ITAREMA,11,FLÁVIO MONTEIRO,77
14236,1,ITAREMA,11,ALEXANDRE COELHO,10964
14237,1,ITAREMA,11,ELIZEU MONTEIRO,12658
14238,1,ITAREMA,11,LUCIANO FILHO,374
14328,1,NOVO ORIENTE,11,NENEN COELHO,9813
14329,1,NOVO ORIENTE,11,Nulo,479
14330,1,NOVO ORIENTE,11,Branco,195
14331,1,NOVO ORIENTE,11,VANALDO MOURA,8888
14367,1,QUITERIANÓPOLIS,11,Nulo,634
14368,1,QUITERIANÓPOLIS,11,Branco,134
14369,1,QUITERIANÓPOLIS,11,DR GUSTAVO,3842
14370,1,QUITERIANÓPOLIS,11,DRA PRISCILLA BARRETO,9279
14401,1,AIUABA,11,RAMILSON MORAES,6153
14402,1,AIUABA,11,Branco,246
14403,1,AIUABA,11,Nulo,355
14404,1,AIUABA,11,VITOR DO VALMIR,2255
14432,1,ARNEIROZ,11,MONTEIRO FILHO,3063
14433,1,ARNEIROZ,11,Nulo,183
14434,1,ARNEIROZ,11,GIDEONNE FEITOSA,2714
14435,1,ARNEIROZ,11,Branco,30
14436,1,ARNEIROZ,11,JÚNIOR GUEDES,43
14458,1,MARACANAÚ,11,Branco,8297
14459,1,MARACANAÚ,11,PROFESSOR CARLOS EDUARDO,1365
14460,1,MARACANAÚ,11,Nulo,13867
14461,1,MARACANAÚ,11,DANIEL BAIMA,6194
14462,1,MARACANAÚ,11,PROF. FRANCISCO MOURA,1631
14463,1,MARACANAÚ,11,ROBERTO PESSOA,78859
14464,1,MARACANAÚ,11,JULINHO LÍDER DO CAMILO,30713
14465,1,MARACANAÚ,11,MARKOS GOMES,137
14801,1,CAPISTRANO,11,Nulo,441
14802,1,CAPISTRANO,11,ZÉ RENATO,6035
14803,1,CAPISTRANO,11,JUNIOR SARAIVA,6274
14804,1,CAPISTRANO,11,ABREU DE CAPISTRANO,512
14805,1,CAPISTRANO,11,Branco,191
14879,1,ARATUBA,11,JOERLY VITOR,3367
14880,1,ARATUBA,11,IVAN NETO,2725
14881,1,ARATUBA,11,Branco,120
14882,1,ARATUBA,11,FURINGA,3323
14883,1,ARATUBA,11,Nulo,262
14961,1,ITAPIÚNA,11,Nulo,471
14962,1,ITAPIÚNA,11,WAUSTON,4611
14963,1,ITAPIÚNA,11,Branco,176
14964,1,ITAPIÚNA,11,DÁRIO COELHO,5754
14965,1,ITAPIÚNA,11,ALBERTIN,2276
15011,1,CHAVAL,11,VERINHA VERAS,45
15012,1,CHAVAL,11,Nulo,236
15013,1,CHAVAL,11,JANALINE PACHECO,3317
15014,1,CHAVAL,11,Branco,110
15015,1,CHAVAL,11,SEBASTIÃOZINHO,5171
15050,1,BARROQUINHA,11,Branco,75
15051,1,BARROQUINHA,11,Nulo,261
15052,1,BARROQUINHA,11,JAIME VERAS,5658
15053,1,BARROQUINHA,11,PROFESSOR ADEMAR,5494
15077,1,PARACURU,11,BEIM,12790
15078,1,PARACURU,11,DRA EVELINE,5365
15079,1,PARACURU,11,BITEM,232
15080,1,PARACURU,11,Nulo,1624
15081,1,PARACURU,11,Branco,756
15082,1,PARACURU,11,MÁRCIO BATISTA,935
15083,1,PARACURU,11,KLEBER BANDEIRA,255
15084,1,PARACURU,11,DOMENICO DA HOBBY CENTER,3087
15246,1,PARAIPABA,11,Branco,313
15247,1,PARAIPABA,11,ARIANA AQUINO,12057
15248,1,PARAIPABA,11,CLODOALDO,1842
15249,1,PARAIPABA,11,DIMITRI,6485
15250,1,PARAIPABA,11,Nulo,830
15251,1,PARAIPABA,11,DR BRITO,154
15364,1,CARIDADE,11,JOAO ANTONIO XEREZ,6528
15365,1,CARIDADE,11,Nulo,420
15366,1,CARIDADE,11,SIMONE TAVARES,7219
15367,1,CARIDADE,11,Branco,135
15423,1,PARAMOTI,11,TELVÂNIA BRAZ,2372
15424,1,PARAMOTI,11,DR NOGUEIRA,1211
15425,1,PARAMOTI,11,Nulo,226
15426,1,PARAMOTI,11,EDUARDO,2367
15427,1,PARAMOTI,11,ANTÔNIO JOSÉ,2023
15428,1,PARAMOTI,11,Branco,86
15481,1,JARDIM,11,DR. ANIZIARIO COSTA,8144
15482,1,JARDIM,11,CLEA LUZ,7248
15483,1,JARDIM,11,JUNIOR COUTINHO,973
15484,1,JARDIM,11,Nulo,678
15485,1,JARDIM,11,Branco,224
15535,1,FORQUILHA,11,Nulo,612
15536,1,FORQUILHA,11,GUIDA PRADO,7332
15537,1,FORQUILHA,11,Branco,219
15538,1,FORQUILHA,11,EDINARDO,7803
